Log: /Users/johntang/Desktop/clients/baam-local/tmp/corridor_pipeline_20260402_230037.log
=== discover lower-east-side-ny ===
🇨🇳 Discover Chinese Businesses — lower-east-side-ny
   Mode: ✅ APPLY
   Queries: 124 × 5 zones = 620 searches

📊 Existing businesses: 8426


📍 Zone: East Village core (40.729, -73.987)
  [155/620] 曼哈顿东村蛋糕              → 20 results, 0 new
  [156/620] 曼哈顿东村面包店             → 20 results, 0 new
  [157/620] 曼哈顿东村咖啡              → 20 results, 1 new
  [158/620] 曼哈顿东村日料              → 20 results, 8 new
  [159/620] 曼哈顿东村韩餐              → 20 results, 1 new
  [160/620] 曼哈顿东村越南菜             → 20 results, 0 new
  [161/620] 曼哈顿东村泰餐              → 20 results, 1 new
  [162/620] 曼哈顿东村海鲜              → 20 results, 1 new
  [163/620] 曼哈顿东村大排档             → 6 results, 0 new
  [164/620] 曼哈顿东村夜宵              → 20 results, 0 new
  [165/620] 曼哈顿东村外卖              → 20 results, 0 new
  [166/620] 曼哈顿东村华人超市            → 20 results, 0 new
  [167/620] 曼哈顿东村中国超市            → 20 results, 1 new
  [168/620] 曼哈顿东村亚洲超市            → 20 results, 0 new
  [169/620] 曼哈顿东村中医              → 20 results, 0 new
  [170/620] 曼哈顿东村针灸              → 20 results, 0 new
  [171/620] 曼哈顿东村推拿              → 20 results, 2 new
  [172/620] 曼哈顿东村中药              → 20 results, 0 new
  [173/620] 曼哈顿东村华人牙医            → 20 results, 0 new
  [174/620] 曼哈顿东村中文牙医            → 20 results, 0 new
  [175/620] 曼哈顿东村牙科              → 20 results, 0 new
  [176/620] 曼哈顿东村华人医生            → 20 results, 0 new
  [177/620] 曼哈顿东村家庭医生            → 20 results, 0 new
  [178/620] 曼哈顿东村内科              → 20 results, 1 new
  [179/620] 曼哈顿东村儿科              → 20 results, 0 new
  [180/620] 曼哈顿东村妇产科             → 20 results, 0 new
  [181/620] 曼哈顿东村皮肤科             → 20 results, 1 new
  [182/620] 曼哈顿东村眼科              → 20 results, 0 new
  [183/620] 曼哈顿东村骨科              → 20 results, 0 new
  [184/620] 曼哈顿东村心理咨询            → 11 results, 0 new
  [185/620] 曼哈顿东村药房              → 20 results, 1 new
  [186/620] 曼哈顿东村物理治疗            → 20 results, 6 new
  [187/620] 曼哈顿东村华人律师            → 20 results, 0 new
  [188/620] 曼哈顿东村移民律师            → 20 results, 0 new
  [189/620] 曼哈顿东村离婚律师            → 20 results, 0 new
  [190/620] 曼哈顿东村房产律师            → 20 results, 0 new
  [191/620] 曼哈顿东村刑事律师            → 20 results, 0 new
  [192/620] 曼哈顿东村工伤律师            → 2 results, 0 new
  [193/620] 曼哈顿东村公证翻译            → 14 results, 0 new
  [194/620] 曼哈顿东村华人会计            → 20 results, 0 new
  [195/620] 曼哈顿东村报税              → 9 results, 0 new
  [196/620] 曼哈顿东村CPA             → 20 results, 0 new
  [197/620] 曼哈顿东村华人保险            → 20 results, 0 new
  [198/620] 曼哈顿东村贷款              → 20 results, 0 new
  [199/620] 曼哈顿东村房贷              → 9 results, 0 new
  [200/620] 曼哈顿东村华人房产            → 2 results, 0 new
  [201/620] 曼哈顿东村地产经纪            → 20 results, 0 new
  [202/620] 曼哈顿东村房产中介            → 8 results, 0 new
  [203/620] 曼哈顿东村补习班             → 14 results, 0 new
  [204/620] 曼哈顿东村辅导班             → 8 results, 0 new
  [205/620] 曼哈顿东村中文学校            → 20 results, 0 new
  [206/620] 曼哈顿东村钢琴              → 20 results, 1 new
  [207/620] 曼哈顿东村舞蹈              → 20 results, 1 new
  [208/620] 曼哈顿东村画画              → 20 results, 14 new
  [209/620] 曼哈顿东村武术              → 13 results, 1 new
  [210/620] 曼哈顿东村驾校              → 20 results, 2 new
  [211/620] 曼哈顿东村幼儿园             → 11 results, 1 new
  [212/620] 曼哈顿东村学英语             → 20 results, 0 new
  [213/620] 曼哈顿东村SAT培训           → 13 results, 0 new
  [214/620] 曼哈顿东村升学顾问            → 7 results, 1 new
  [215/620] 曼哈顿东村华人装修            → 9 results, 0 new
  [216/620] 曼哈顿东村装修公司            → 20 results, 0 new
  [217/620] 曼哈顿东村水管工             → 5 results, 0 new
  [218/620] 曼哈顿东村电工              → 2 results, 0 new
  [219/620] 曼哈顿东村搬家              → 18 results, 0 new
  [220/620] 曼哈顿东村搬家公司            → 15 results, 0 new
  [221/620] 曼哈顿东村清洁              → 9 results, 0 new
  [222/620] 曼哈顿东村油漆              → 1 results, 0 new
  [223/620] 曼哈顿东村华人美发            → 20 results, 1 new
  [224/620] 曼哈顿东村理发              → 20 results, 0 new
  [225/620] 曼哈顿东村美甲              → 20 results, 0 new
  [226/620] 曼哈顿东村美容              → 20 results, 0 new
  [227/620] 曼哈顿东村按摩              → 20 results, 1 new
  [228/620] 曼哈顿东村SPA             → 20 results, 3 new
  [229/620] 曼哈顿东村纹眉              → 20 results, 0 new
  [230/620] 曼哈顿东村医美              → 20 results, 0 new
  [231/620] 曼哈顿东村华人修车            → 20 results, 0 new
  [232/620] 曼哈顿东村汽车维修            → 20 results, 0 new
  [233/620] 曼哈顿东村车行              → 20 results, 0 new
  [234/620] 曼哈顿东村旅行社             → 20 results, 0 new
  [235/620] 曼哈顿东村快递              → 10 results, 0 new
  [236/620] 曼哈顿东村寄包裹             → 18 results, 0 new
  [237/620] 曼哈顿东村摄影              → 11 results, 0 new
  [238/620] 曼哈顿东村婚纱照             → 20 results, 0 new
  [239/620] 曼哈顿东村翻译              → 4 results, 0 new
  [240/620] 曼哈顿东村印刷              → 20 results, 0 new
  [241/620] 曼哈顿东村裁缝              → 20 results, 0 new
  [242/620] 曼哈顿东村宠物              → 20 results, 1 new
  [243/620] 曼哈顿东村洗衣              → 20 results, 0 new
  [244/620] 曼哈顿东村修手机             → 20 results, 0 new
  [245/620] 曼哈顿东村珠宝              → 20 results, 1 new
  [246/620] 曼哈顿东村老人日托            → 6 results, 1 new
  [247/620] 曼哈顿东村教会              → 20 results, 1 new
  [248/620] 曼哈顿东村寺庙              → 20 results, 0 new

📍 Zone: LES Delancey / Essex (40.719, -73.988)
  [249/620] 曼哈顿东村中餐              → 20 results, 0 new
  [250/620] 曼哈顿东村川菜              → 20 results, 0 new
  [251/620] 曼哈顿东村粤菜              → 20 results, 1 new
  [252/620] 曼哈顿东村东北菜             → 20 results, 0 new
  [253/620] 曼哈顿东村湘菜              → 20 results, 0 new
  [254/620] 曼哈顿东村上海菜             → 20 results, 0 new
  [255/620] 曼哈顿东村北京菜             → 20 results, 0 new
  [256/620] 曼哈顿东村江浙菜             → 13 results, 0 new
  [257/620] 曼哈顿东村客家菜             → 11 results, 0 new
  [258/620] 曼哈顿东村云南菜             → 20 results, 0 new
  [259/620] 曼哈顿东村福建菜             → 14 results, 0 new
  [260/620] 曼哈顿东村台湾菜             → 20 results, 1 new
  [261/620] 曼哈顿东村小吃              → 20 results, 0 new
  [262/620] 曼哈顿东村火锅              → 12 results, 0 new
  [263/620] 曼哈顿东村麻辣烫             → 11 results, 0 new
  [264/620] 曼哈顿东村串串香             → 1 results, 0 new
  [265/620] 曼哈顿东村烧烤              → 20 results, 1 new
  [266/620] 曼哈顿东村烤肉              → 20 results, 0 new
  [267/620] 曼哈顿东村饺子              → 20 results, 1 new
  [268/620] 曼哈顿东村面馆              → 20 results, 1 new
  [269/620] 曼哈顿东村拉面              → 20 results, 1 new
  [270/620] 曼哈顿东村米粉              → 20 results, 1 new
  [271/620] 曼哈顿东村螺蛳粉             → 6 results, 0 new
  [272/620] 曼哈顿东村早茶              → 14 results, 0 new
  [273/620] 曼哈顿东村点心              → 4 results, 0 new
  [274/620] 曼哈顿东村小笼包             → 20 results, 0 new
  [275/620] 曼哈顿东村包子              → 20 results, 0 new
  [276/620] 曼哈顿东村奶茶              → 20 results, 1 new
  [277/620] 曼哈顿东村茶饮              → 20 results, 0 new
  [278/620] 曼哈顿东村甜品              → 20 results, 0 new
  [279/620] 曼哈顿东村蛋糕              → 20 results, 2 new
  [280/620] 曼哈顿东村面包店             → 20 results, 0 new
  [281/620] 曼哈顿东村咖啡              → 20 results, 1 new
  [282/620] 曼哈顿东村日料              → 20 results, 4 new
  [283/620] 曼哈顿东村韩餐              → 20 results, 2 new
  [284/620] 曼哈顿东村越南菜             → 20 results, 1 new
  [285/620] 曼哈顿东村泰餐              → 20 results, 0 new
  [286/620] 曼哈顿东村海鲜              → 20 results, 0 new
  [287/620] 曼哈顿东村大排档             → 4 results, 0 new
  [288/620] 曼哈顿东村夜宵              → 20 results, 0 new
  [289/620] 曼哈顿东村外卖              → 20 results, 1 new
  [290/620] 曼哈顿东村华人超市            → 20 results, 1 new
  [291/620] 曼哈顿东村中国超市            → 20 results, 0 new
  [292/620] 曼哈顿东村亚洲超市            → 20 results, 0 new
  [293/620] 曼哈顿东村中医              → 20 results, 0 new
  [294/620] 曼哈顿东村针灸              → 20 results, 0 new
  [295/620] 曼哈顿东村推拿              → 20 results, 0 new
  [296/620] 曼哈顿东村中药              → 20 results, 0 new
  [297/620] 曼哈顿东村华人牙医            → 20 results, 0 new
  [298/620] 曼哈顿东村中文牙医            → 20 results, 0 new
  [299/620] 曼哈顿东村牙科              → 20 results, 0 new
  [300/620] 曼哈顿东村华人医生            → 20 results, 0 new
  [301/620] 曼哈顿东村家庭医生            → 20 results, 1 new
  [302/620] 曼哈顿东村内科              → 20 results, 2 new
  [303/620] 曼哈顿东村儿科              → 20 results, 0 new
  [304/620] 曼哈顿东村妇产科             → 20 results, 0 new
  [305/620] 曼哈顿东村皮肤科             → 17 results, 2 new
  [306/620] 曼哈顿东村眼科              → 20 results, 0 new
  [307/620] 曼哈顿东村骨科              → 20 results, 0 new
  [308/620] 曼哈顿东村心理咨询            → 11 results, 0 new
  [309/620] 曼哈顿东村药房              → 20 results, 0 new
  [310/620] 曼哈顿东村物理治疗            → 20 results, 4 new
  [311/620] 曼哈顿东村华人律师            → 20 results, 0 new
  [312/620] 曼哈顿东村移民律师            → 20 results, 0 new
  [313/620] 曼哈顿东村离婚律师            → 20 results, 0 new
  [314/620] 曼哈顿东村房产律师            → 20 results, 0 new
  [315/620] 曼哈顿东村刑事律师            → 20 results, 0 new
  [316/620] 曼哈顿东村工伤律师            → 2 results, 0 new
  [317/620] 曼哈顿东村公证翻译            → 16 results, 0 new
  [318/620] 曼哈顿东村华人会计            → 20 results, 0 new
  [319/620] 曼哈顿东村报税              → 7 results, 0 new
  [320/620] 曼哈顿东村CPA             → 20 results, 0 new
  [321/620] 曼哈顿东村华人保险            → 20 results, 0 new
  [322/620] 曼哈顿东村贷款              → 20 results, 0 new
  [323/620] 曼哈顿东村房贷              → 8 results, 0 new
  [324/620] 曼哈顿东村华人房产            → 2 results, 0 new
  [325/620] 曼哈顿东村地产经纪            → 20 results, 0 new
  [326/620] 曼哈顿东村房产中介            → 6 results, 0 new
  [327/620] 曼哈顿东村补习班             → 10 results, 0 new
  [328/620] 曼哈顿东村辅导班             → 8 results, 0 new
  [329/620] 曼哈顿东村中文学校            → 16 results, 2 new
  [330/620] 曼哈顿东村钢琴              → 20 results, 0 new
  [331/620] 曼哈顿东村舞蹈              → 13 results, 0 new
  [332/620] 曼哈顿东村画画              → 20 results, 14 new
  [333/620] 曼哈顿东村武术              → 14 results, 0 new
  [334/620] 曼哈顿东村驾校              → 20 results, 0 new
  [335/620] 曼哈顿东村幼儿园             → 8 results, 0 new
  [336/620] 曼哈顿东村学英语             → 15 results, 0 new
  [337/620] 曼哈顿东村SAT培训           → 13 results, 0 new
  [338/620] 曼哈顿东村升学顾问            → 6 results, 0 new
  [339/620] 曼哈顿东村华人装修            → 10 results, 0 new
  [340/620] 曼哈顿东村装修公司            → 20 results, 0 new
  [341/620] 曼哈顿东村水管工             → 5 results, 0 new
  [342/620] 曼哈顿东村电工              → 2 results, 0 new
  [343/620] 曼哈顿东村搬家              → 18 results, 0 new
  [344/620] 曼哈顿东村搬家公司            → 15 results, 0 new
  [345/620] 曼哈顿东村清洁              → 9 results, 0 new
  [346/620] 曼哈顿东村油漆              → 1 results, 0 new
